name,address,type,gauges,bribe_ca,fee_ca
vAMM-CHR/USDC,0x20585BFBC272A9D58ad17582BCdA9A5A57271d6A,vAMM,0x3d34022f552362a25A529EC6AF7B9cb226b9C22D,0x5DCACD68A636A2EC705bF43de8eea90F6eeADab3,0xfd3833de38ea00246edA9c77A0198F9Fc13EDE6B
vAMM-CHR/WETH,0xE478af0A1e3cCB4aFce648A9360c7ab730cd2E81,vAMM,0x52810c48997f96e51b993Bec73C02E29364Fe413,0xC9FB9Dab0ff1532b99FC8bE50b157A7cdF99BeD6,0x5ffeF338F21d9620725123b76bD7D3d33E42baBb
vAMM-WETH/USDC,0xA2F1C1B52E1b7223825552343297Dc68a29ABecC,vAMM,0xdb74aE9C3d1b96326BDAb8E1da9c5e98281d576e,0x57dA9f34A5e3baA83d36eC3889d973a592bB5aE4,0xFBE42b3f4Eab340A78D0a53Df1ab9DbbC6E1849C
sAMM-USDT/USDC,0xC9445A9AFe8E48c71459aEdf956eD950e983eC5A,sAMM,0x026acD3425132870986561b7e3f2f15f5920E119,0xb3E98582B7339731D9e7C4451C884c8156B55179,0xc9D4DA34416Eba40C7E1F2D340d88B59DaE1887b
vAMM-USDT/USDC,0x3bEe546EFd79B2057145f3775C5f359539E71Da2,vAMM,0xF3F934A868C2C51C83833c62c0455Cb5aaE444E2,0x57136c449b12E36a5Ce24843b88fE6524ECfEf3d,0x9754F651E717655B58d04fD0b81adc45A8F62b02
sAMM-CHR/USDC,0xD284707D48B2C020C5A438c81966a71D787F0575,sAMM,0x404A762533aFd7752a8219687C010dADe8d96B57,0x5Eb54Bc4C3728DaD05e4bc8D662d2923Bf15FdB6,0xBc5DaFdca5085319F81aA7cb8b90f27d76C6272f
sAMM-WETH/USDC,0x312702D569Fb1b90D79d7eE06584c6FEb9126588,sAMM,0x1cFEbD8394615DF6252404024D43f7A38df8e05c,0xe32c0f2F1778CD8ac4fCAB7A0c4396F2d58B59Aa,0x3373a60bDe2052F9A72368D0cc06Eef27EE9d836
vAMM-CHR/USDT,0x56cD460626d5268d7ee19c076af7bc64f47D834b,vAMM,0x27FCa34847AcF212d27B356216D4846dF05155e9,0x0fb81A4b311be3b1ce5496D467ff73ee8a4D99f2,0xc42b3120D5F1f3d685F4B441a671ADDC6407069A
sAMM-CHR/USDT,0xdbf8140f66cbde5463938D2503150106C9Ac3068,sAMM,0xaD7962363a42268A0fd374ec464F2e3CFE2412bd,0xE2efFa1F2fE55704A287c82e027a920E4AbbEc30,0xCf8eC65470043e7c891eFf4bCc539146aaF0e80E
vAMM-fUSDC/WETH,0x0176416BDc885b1Bb751B0A014D495760a972A73,vAMM,0x7a344909f19283c98559E79B1dAe70004c42F1Af,0x64925801c106DaA6B8c911c3F15c71331C8DFCDf,0x7d6d64d11c1F7242328cFD924f7bC80C3D81a844
sAMM-fUSDC/USDC,0x62030690385A481Ab0c6039fEA75AC6658B7b961,sAMM,0x3399418c09b38be35227532ef53Cc4794A11Bf65,0xFe08B18C50AcC0Eb0de28fE2D4118A6aF5d8870E,0xbd42E2029CBe9100999d9d5df26E9B31a4344490
sAMM-CHR/WETH,0x3cdE2D4Fe043EC1fD764Fb9E3463BBaB68f27A28,sAMM,0xc6796B9B393fAFC8db42E8D0dD5818c06F9Be419,0xC79C5099D8018463eD7e969Dd3a105Cd7591618f,0xBa16b7bac327F5Da651791014D8529F55349E211
